# photometric and parallax of HARPS spectra
# P Jofre, cambridge, Fri Feb  6 23:33:57 2015
Star ra  dec  plx  e_plx  hpmag  s_hpmag b-v  e_b-v  v-i vmag sourceVmag  J2mass  eJ2mass  H2mass  eH2mass  K2mass  eK2mass qual2mass n(in1arcmin) 
 HIP108859     330.7948010693      18.8843626812     20.15     0.80    7.7719   0.014    0.594   0.015    0.660    7.650   G    6.591   0.020    6.366   0.038    6.308   0.026   AAA   02
 HIP108991     331.1976317270      -0.9062394927     14.68     0.30    5.3574   0.006    0.231   0.004    0.230    5.290   H    4.949   0.037    4.958   0.076    4.783   0.020   EEA   02
 HIP109110     331.5218061276      -5.3579174755     28.45     0.99    7.7156   0.016    0.674   0.015    0.730    7.570   G    6.326   0.020    6.003   0.040    5.884   0.017   AAA   02
 HIP109166     331.6915491726     -45.3917951669     32.25     1.14    8.5834   0.013    0.860   0.018    0.900    8.440   H    6.903   0.021    6.489   0.036    6.396   0.023   AAA   01
 HIP109176     331.7519681377      25.3450454053     85.28     0.63    3.8678   0.004    0.435   0.007    0.510    3.770   G    2.954   0.222    2.729   0.184    2.564   0.290   DCD   01
 HIP109378     332.3742218348      -7.5475607817     46.38     0.48    6.6823   0.006    0.773   0.006    0.770    6.540   H    5.275   0.024    4.957   0.031    4.799   0.020   AAA   02
  HIP10940      35.2249155791     -52.9637689519     19.96     0.46    7.8861   0.010    0.529   0.015    0.600    7.770   H    6.831   0.032    6.568   0.063    6.504   0.023   AAA   01
 HIP109821     333.6591963662     -41.3797420445     45.35     0.37    6.3521   0.007    0.648   0.006    0.700    6.230   G    5.095   0.037    4.828   0.240    4.662   0.020   EDA   02
 HIP109822     333.6592527910     -15.8176644952     26.26     0.53    6.6962   0.007    0.890   0.010    0.950    6.550   H    4.997   0.037    4.630   0.076    4.342   0.036   EEE   02
 HIP110109     334.5632509130     -53.6255346025     72.54     0.36    5.5015   0.006    0.614   0.015    0.700    5.360   G    4.426   0.260    3.925   0.248    3.913   0.272   DDD   01
 HIP110341     335.2323774897       8.1866888188     32.33     0.55    6.2808   0.006    0.451   0.010    0.520    6.180   H    5.323   0.029    5.160   0.036    5.050   0.026   AAA   01
 HIP110508     335.7874635641       9.4609958274     30.07     0.60    8.0464   0.012    0.682   0.005    0.740    7.910   H    6.643   0.029    6.357   0.031    6.269   0.027   AAA   01
 HIP110618     336.1432858950     -72.2537718007     34.84     0.26    5.3997   0.007    0.660   0.042    0.810    5.280   G    4.146   0.278    3.586   0.224    3.543   0.258   DDD   01
  HIP11072      35.6350867025     -23.8163147703     45.53     0.82    5.3187   0.006    0.608   0.017    0.680    5.190   G    4.135   0.292    3.712   0.238    3.741   0.194   DDC   01
 HIP110812     336.7603575328     -62.5247986697     28.44     1.07    8.9301   0.022    0.867   0.015    0.880    8.790   H    7.262   0.024    6.880   0.036    6.776   0.023   AAA   01
 HIP110843     336.8515909923     -49.3651462175     28.26     0.66    7.6201   0.010    0.730   0.001    0.780    7.480   G    6.211   0.019    5.920   0.033    5.800   0.018   AAA   01
 HIP110852     336.8779525219     -77.7176973974     18.20     0.53    7.8860   0.014    0.560   0.010    0.630    7.760   H    6.765   0.020    6.522   0.029    6.466   0.021   AAA   02
 HIP110882     336.9644783196       4.6964107159     21.99     0.37    4.9476   0.006    1.039   0.015    1.070    4.780   H    3.082   0.318    2.497   0.246    2.420   0.266   DDD   01
 HIP111143     337.7520255117     -49.4327972848     24.61     0.59    6.9407   0.008    0.603   0.005    0.670    6.810   H    5.708   0.018    5.482   0.023    5.354   0.020   AAA   02
 HIP111349     338.3768604295     -35.4442097374     31.86     0.74    7.9458   0.009    0.721   0.003    0.770    7.800   G    6.549   0.027    6.230   0.055    6.112   0.023   AAA   01
 HIP111565     339.0305653949     -54.6099845796     31.82     0.63    7.7160   0.012    0.670   0.007    0.740    7.580   G    6.307   0.020    5.972   0.042    5.886   0.029   AAA   01
 HIP111616     339.1767249362     -43.4709582287     18.38     0.46    6.8731   0.008    0.529   0.007    0.600    6.750   G    5.783   0.020    5.532   0.042    5.463   0.017   AAA   01
 HIP111746     339.5446905057     -27.4434733059     27.45     0.91    8.0198   0.010    0.640   0.000    0.700    7.890   H    6.658   0.021    6.373   0.031    6.295   0.020   AAA   02
 HIP111978     340.2288825946     -31.9901087789     36.28     0.67    7.5491   0.012    0.789   0.028    0.800    7.410   H    6.057   0.018    5.734   0.024    5.622   0.018   AAA   02
 HIP112117     340.6536457552     -47.2100061424     42.31     0.40    6.1070   0.007    0.584   0.003    0.660    5.990   G    4.955   0.037    4.795   0.018    4.653   0.018   EAA   02
 HIP112201     340.8692893818     -64.8119128772     18.53     0.82    8.3984   0.024    0.707   0.011    0.760    8.260   H    7.116   0.044    6.807   0.027    6.699   0.027   AAA   01
 HIP112229     340.9609482911       3.8860333278     23.27     0.67    7.5191   0.010    0.515   0.011    0.590    7.410   H    6.309   0.019    6.021   0.040    5.951   0.020   AAA   01
   HIP1128       3.5176126981     -11.3111181676     23.50     1.02    8.5045   0.016    0.645   0.008    0.710    8.360   G    7.136   0.021    6.816   0.055    6.722   0.024   AAA   02
 HIP112935     343.0990174845       9.8355569144     36.66     0.29    5.2642   0.006    0.487   0.004    0.560    5.160   H    4.228   0.292    3.894   0.228    3.922   0.036   DDE   01
 HIP113044     343.4072414855     -48.5980861621     30.66     0.39    6.1609   0.006    0.621   0.005    0.690    6.030   H    5.008   0.037    4.687   0.076    4.612   0.020   EEA   02
 HIP113231     343.9568762563      -7.8224877481     27.22     1.12    8.1434   0.012    0.659   0.003    0.700    8.010   H    6.816   0.034    6.492   0.033    6.353   0.020   AAA   01
 HIP113238     343.9731588741     -26.6583295513     28.11     0.79    8.2709   0.015    0.821   0.004    0.860    8.110   G    6.752   0.018    6.429   0.026    6.311   0.021   AAA   01
 HIP113357     344.3660351524      20.7686836394     64.07     0.38    5.5865   0.005    0.666   0.007    0.690    5.450   H    4.655   0.296    4.234   0.270    3.911   0.021   DDA   02
 HIP113579     345.0800569989     -26.1533586901     32.51     0.71    7.6090   0.021    0.655   0.003    0.720    7.470   H    6.291   0.020    6.037   0.034    5.943   0.027   AAA   02
 HIP113948     346.1371734235     -25.6907355280     17.62     0.83    8.1822   0.016    0.661   0.014    0.720    8.050   H    6.875   0.021    6.590   0.024    6.513   0.026   AAA   02
 HIP114269     347.1516154142     -63.8711087209     16.59     0.63    7.3519   0.011    0.634   0.003    0.700    7.220   G    6.099   0.027    5.796   0.029    5.734   0.023   AAA   02
 HIP114276     347.1790032487     -18.7518548903     15.27     0.78    8.2222   0.013    0.576   0.015    0.650    8.110   G    7.014   0.018    6.730   0.034    6.666   0.021   AAA   01
  HIP11433      36.8684370848     -27.6346919773     24.69     1.14    9.2431   0.021    0.879   0.003    0.920    9.100   H    7.553   0.019    7.215   0.034    7.044   0.018   AAA   01
 HIP114699     348.5249041393     -62.6989691027     34.07     0.37    6.2686   0.008    0.787   0.004    0.820    6.120   H    4.640   0.192    4.124   0.138    4.287   8.888   CBF   01
 HIP114790     348.7892492229     -56.7294181838     32.60     0.85    8.0851   0.018    0.695   0.006    0.750    7.960   G    6.672   0.020    6.308   0.018    6.255   0.021   AAA   02
 HIP114855     348.9719776513      -9.0876954308     21.77     0.29    4.4090   0.005    1.107   0.005    1.060    4.240   H    2.263   0.246    1.690   0.216    1.597   0.236   DCD   01
 HIP115126     349.7771102068     -13.4584435054     47.35     2.47    5.2453   0.020    0.787   0.004    0.820    5.200   G    3.818   0.298    3.339   0.248    3.352   0.256   DDD   02
 HIP115227     350.0855617751       5.3814515845      7.54     0.40    5.2170   0.007    1.204   0.002    1.160    5.050   G    2.891   0.250    2.120   0.190    1.993   0.234   DCD   01
 HIP115312     350.3146192830     -26.9867408831      9.87     0.39    5.8058   0.010    0.817   0.004    0.840    5.650   G    4.235   0.278    3.707   0.246    3.653   0.208   DDC   02
 HIP115381     350.5985685468      -0.4142595840     29.73     1.33    8.6967   0.016    0.853   0.003    0.870    8.560   G    7.034   0.023    6.623   0.026    6.513   0.018   AAA   01
 HIP115445     350.7692686032     -10.7648760861     52.29     0.86    7.9410   0.013    0.881   0.010    0.950    7.800   G    6.201   0.024    5.740   0.042    5.591   0.017   AAA   01
 HIP115547     351.0785599500     -72.1650835343     23.86     0.37    7.0004   0.012    0.541   0.011    0.610    6.880   H    5.890   0.024    5.625   0.040    5.528   0.024   AAA   01
 HIP115577     351.1755391733     -52.7014933058     23.79     0.79    7.7244   0.013    0.692   0.001    0.750    7.590   H    6.375   0.018    6.097   0.046    5.971   0.023   AAA   02
 HIP115713     351.6522578646     -52.7219176635     32.50     0.37    5.6197   0.006    0.409   0.003    0.480    5.530   H    4.917   0.226    4.682   0.015    4.536   0.018   DEE   02
 HIP115803     351.9068429677     -33.6277627901     20.56     0.88    7.6287   0.009    0.530   0.011    0.600    7.510   H    6.533   0.020    6.272   0.026    6.200   0.020   AAA   02
 HIP116084     352.8338985838     -58.2097176431     18.09     0.64    7.9294   0.016    0.513   0.008    0.590    7.820   H    6.843   0.020    6.616   0.033    6.569   0.020   AAA   01
 HIP116106     352.8808177411      -4.0869365040     38.29     0.54    6.6127   0.007    0.531   0.008    0.600    6.500   G    5.488   0.019    5.264   0.038    5.150   0.017   AAA   02
 HIP116250     353.3314296627     -77.3853294828     31.81     0.27    5.9516   0.006    0.681   0.002    0.740    5.820   H    4.997   0.252    4.527   0.238    4.306   0.036   DDE   01
 HIP116350     353.6436544159     -70.9633079787     20.19     0.57    7.6577   0.013    0.510   0.006    0.580    7.550   G    6.590   0.020    6.373   0.042    6.318   0.018   AAA   01
 HIP116771     354.9867414019       5.6273540224     72.92     0.15    4.2373   0.004    0.507   0.006    0.590    4.130   G    3.299   0.286    2.988   0.240    2.946   0.288   DDD   01
 HIP116819     355.1569309243     -18.9887922235     36.90     0.87    7.7236   0.012    0.731   0.006    0.780    7.590   G    6.277   0.019    5.923   0.040    5.853   0.024   AAA   02
 HIP116906     355.4650535518      -5.9854870119     23.94     0.74    7.8188   0.013    0.648   0.002    0.710    7.680   G    6.522   0.019    6.243   0.038    6.173   0.023   AAA   01
 HIP116937     355.5519746789     -53.4233395841     28.76     0.91    8.1304   0.017    0.704   0.002    0.760    7.990   H    6.769   0.024    6.466   0.046    6.320   0.020   AAA   01
 HIP117066     355.9913948730     -82.5082761079     25.24     0.48    7.8144   0.012    0.608   0.008    0.680    7.680   H    6.577   0.027    6.264   0.024    6.238   0.024   AAA   02
 HIP117320     356.8381712948     -48.2750674001     24.90     0.59    7.0211   0.009    0.659   0.003    0.720    6.890   G    5.740   0.021    5.445   0.033    5.355   0.015   AAA   01
 HIP117776     358.2786270410       2.3310020228     11.98     0.81    8.1615   0.011    0.519   0.026    0.590    8.030   G    6.956   0.021    6.719   0.031    6.667   0.021   AAA   01
 HIP118080     359.2920357481      -5.4597381577     12.39     0.89    8.6185   0.013    0.546   0.015    0.620    8.500   H    7.457   0.023    7.170   0.042    7.118   0.023   AAA   01
 HIP118115     359.3885226632      -9.6471633030     20.84     0.87    8.0244   0.013    0.643   0.002    0.710    7.890   H    6.742   0.027    6.442   0.034    6.331   0.023   AAA   01
 HIP118123     359.3961325739     -65.7754975425     25.30     0.75    8.3139   0.015    0.613   0.009    0.680    8.210   G    7.044   0.020    6.760   0.029    6.661   0.021   AAA   02
 HIP118278     359.8671431274     -20.0340227192     39.85     0.78    7.6160   0.010    0.741   0.006    0.790    7.470   G    6.128   0.023    5.770   0.036    5.706   0.034   AAA   02
  HIP12048      38.8334159738      -3.5595394279     25.67     0.66    6.9642   0.006    0.670   0.004    0.730    6.830   G    5.679   0.021    5.346   0.040    5.266   0.023   AAA   02
  HIP12114      39.0159676275       6.8833642260    139.27     0.45    5.9524   0.008    0.918   0.019    1.060    5.790   G    4.152   0.264    3.657   0.244    3.481   0.208   DDC   02
  HIP12119      39.0328528766     -28.2187047591     24.04     0.87    8.5233   0.017    0.770   0.015    0.810    8.380   H    7.014   0.027    6.677   0.033    6.582   0.023   AAA   02
  HIP12186      39.2442523986     -34.5773444476     38.79     0.40    5.9086   0.007    0.653   0.005    0.700    5.780   G    4.596   0.238    4.185   0.234    4.246   0.018   DDA   02
